continent,location,date,population,Sum_vaccination,Percent_vaccination_population
Asia,Turkey,3/17/2021,"84,339,067","12,142,245",14.39694015
Europe,Russia,4/4/2021,"145,934,460","12,120,810",8.305653099
North America,Canada,4/25/2021,"37,742,157","12,045,041",31.91402389
Europe,Russia,4/3/2021,"145,934,460","12,038,859",8.249497069
South America,Chile,4/11/2021,"19,116,209","12,028,510",62.92309317
South America,Chile,4/10/2021,"19,116,209","12,026,071",62.91033437
Europe,Italy,4/7/2021,"60,461,828","12,011,503",19.86625843
South America,Chile,4/9/2021,"19,116,209","12,000,289",62.77546453
Europe,Germany,3/24/2021,"83,783,945","11,992,053",14.31306798
Europe,United Kingdom,2/5/2021,"67,886,004","11,975,267",17.6402591
Europe,France,4/1/2021,"68,147,687","11,951,558",17.53773096
Asia,India,2/23/2021,"1,380,004,385","11,907,392",0.862851751
South America,Brazil,3/15/2021,"212,559,409","11,895,560",5.596346008
Europe,Spain,4/15/2021,"46,754,783","11,885,085",25.42004098
North America,Canada,4/24/2021,"37,742,157","11,813,201",31.29975057
South America,Chile,4/8/2021,"19,116,209","11,782,370",61.63549478
Europe,Russia,4/2/2021,"145,934,460","11,779,295",8.071633663
North America,Mexico,4/12/2021,"128,932,753","11,703,164",9.076951921
Asia,Turkey,3/16/2021,"84,339,067","11,696,296",13.86818282
Europe,Italy,4/6/2021,"60,461,828","11,691,167",19.33644315
Asia,Indonesia,3/31/2021,"273,523,621","11,674,871",4.268322771
Europe,Germany,3/23/2021,"83,783,945","11,658,543",13.91500842
Europe,Russia,4/1/2021,"145,934,460","11,642,295",7.977755905
Europe,France,3/31/2021,"68,147,687","11,551,398",16.95053568
South America,Chile,4/7/2021,"19,116,209","11,543,768",60.38732889
North America,Canada,4/23/2021,"37,742,157","11,526,938",30.5412804
Europe,United Kingdom,2/4/2021,"67,886,004","11,477,040",16.90634199
Europe,Poland,4/29/2021,"37,846,605","11,470,800",30.30866309
Europe,Spain,4/14/2021,"46,754,783","11,436,073",24.45968576
Asia,India,2/22/2021,"1,380,004,385","11,424,094",0.827830268
South America,Brazil,3/14/2021,"212,559,409","11,422,666",5.373869853
Europe,Italy,4/5/2021,"60,461,828","11,409,453",18.8705062
North America,Mexico,4/11/2021,"128,932,753","11,395,137",8.838046761
Europe,Russia,3/31/2021,"145,934,460","11,373,572",7.793616395
South America,Brazil,3/13/2021,"212,559,409","11,362,190",5.345418513
Europe,Germany,3/22/2021,"83,783,945","11,361,036",13.5599201
South America,Chile,4/6/2021,"19,116,209","11,311,456",59.17206701
Asia,Turkey,3/15/2021,"84,339,067","11,261,612",13.35278229
Europe,Italy,4/4/2021,"60,461,828","11,239,354",18.58917332
Europe,France,3/30/2021,"68,147,687","11,220,551",16.46505038
North America,Mexico,4/10/2021,"128,932,753","11,204,183",8.689943199
Europe,Russia,3/30/2021,"145,934,460","11,183,108",7.663103012
North America,Canada,4/22/2021,"37,742,157","11,158,636",29.56544323
South America,Brazil,3/12/2021,"212,559,409","11,149,530",5.245371189
North America,United States,1/14/2021,"331,002,647","11,148,991",3.368248291
Europe,Italy,4/3/2021,"60,461,828","11,143,253",18.43022841
Europe,Russia,3/29/2021,"145,934,460","11,124,350",7.622839732
Europe,Germany,3/21/2021,"83,783,945","11,095,023",13.24242133
Asia,India,2/21/2021,"1,380,004,385","11,085,173",0.803270853
Europe,Poland,4/28/2021,"37,846,605","11,081,369",29.27969101
Europe,Spain,4/13/2021,"46,754,783","11,073,657",23.68454368
South America,Chile,4/5/2021,"19,116,209","11,072,769",57.92345648
Europe,United Kingdom,2/3/2021,"67,886,004","10,992,444",16.19250413
Asia,Turkey,3/14/2021,"84,339,067","10,992,095",13.03321864
North America,Mexico,4/9/2021,"128,932,753","10,984,869",8.519843674
Europe,Germany,3/20/2021,"83,783,945","10,928,958",13.04421509
Asia,Turkey,3/13/2021,"84,339,067","10,923,284",12.95163011
Europe,Italy,4/2/2021,"60,461,828","10,915,144",18.0529507
Europe,France,3/29/2021,"68,147,687","10,871,513",15.95287159
Asia,India,2/20/2021,"1,380,004,385","10,838,323",0.785383229
North America,Canada,4/21/2021,"37,742,157","10,798,150",28.61031499
South America,Chile,4/4/2021,"19,116,209","10,788,969",56.43885249
South America,Chile,4/3/2021,"19,116,209","10,787,857",56.43303544
Europe,Spain,4/12/2021,"46,754,783","10,784,997",23.0671523
South America,Chile,4/2/2021,"19,116,209","10,784,652",56.41626956
South America,Chile,4/1/2021,"19,116,209","10,777,641",56.37959388
Asia,Indonesia,3/28/2021,"273,523,621","10,766,490",3.936219461
Asia,Turkey,3/12/2021,"84,339,067","10,742,277",12.7370119
South America,Brazil,3/11/2021,"212,559,409","10,740,859",5.053109176
Europe,Poland,4/27/2021,"37,846,605","10,740,169",28.37815704
Europe,Germany,3/19/2021,"83,783,945","10,708,861",12.78151918
North America,Mexico,4/8/2021,"128,932,753","10,642,873",8.254592221
Europe,Italy,4/1/2021,"60,461,828","10,636,136",17.59148929
Europe,France,3/28/2021,"68,147,687","10,620,821",15.58500584
Europe,France,3/27/2021,"68,147,687","10,557,947",15.49274446
Asia,United Arab Emirates,4/29/2021,"9,890,400","10,547,584",106.6446655
Europe,United Kingdom,2/2/2021,"67,886,004","10,520,433",15.4972047
Asia,Turkey,3/11/2021,"84,339,067","10,502,494",12.45270356
Asia,Israel,4/30/2021,"8,655,541","10,497,355",121.2790165
Asia,Israel,4/29/2021,"8,655,541","10,494,321",121.2439638
North America,Canada,4/20/2021,"37,742,157","10,481,418",27.77111547
Asia,Israel,4/28/2021,"8,655,541","10,481,270",121.0931818
South America,Chile,3/31/2021,"19,116,209","10,475,141",54.79716716
Asia,Israel,4/27/2021,"8,655,541","10,469,871",120.9614858
Asia,United Arab Emirates,4/28/2021,"9,890,400","10,466,251",105.8223227
Europe,Germany,3/18/2021,"83,783,945","10,465,470",12.4910208
Asia,Israel,4/26/2021,"8,655,541","10,459,039",120.8363406
Asia,India,2/19/2021,"1,380,004,385","10,449,942",0.757239768
Asia,Israel,4/25/2021,"8,655,541","10,446,218",120.6882158
Asia,Israel,4/24/2021,"8,655,541","10,434,679",120.5549023
Asia,Israel,4/23/2021,"8,655,541","10,432,791",120.5330897
Asia,Israel,4/22/2021,"8,655,541","10,426,921",120.4652719
Asia,Indonesia,3/27/2021,"273,523,621","10,425,690",3.811623275
Asia,Israel,4/21/2021,"8,655,541","10,413,684",120.312341
Asia,Indonesia,3/26/2021,"273,523,621","10,412,824",3.806919476
Asia,Israel,4/20/2021,"8,655,541","10,400,580",120.1609466
Asia,Israel,4/19/2021,"8,655,541","10,384,189",119.9715766
